,num4black,num4white,0,1,2,3,4,5,6
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2C3F4A6A5A4E2E1C1G5C8C7B6F2C2,1.0,1.0,,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3B4,2.0,3.0,142.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3B4C7,2.0,3.0,143.0,1443.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3B4C7A4,1.0,3.0,144.0,1073.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3B4C7A4E2,4.0,1.0,145.0,1436.0,1564.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3B4C7A4E2A6,1.0,1.0,146.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3B4C7A4E2A6A3,1.0,1.0,147.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2B6C3G5D8A5F2H3B4C7A4E2A6A3G3,1.0,1.0,,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4C3C8,1.0,4.0,149.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4C3C8B6,1.0,4.0,150.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4C3C8B6F2,1.0,4.0,151.0,237.0,940.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4C3C8B6F2F7,4.0,1.0,152.0,1400.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4C3C8B6F2F7E2,3.0,1.0,153.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4C3C8B6F2F7E2G5,3.0,1.0,154.0,700.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4C3C8B6F2F7E2G5C2,2.0,1.0,155.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4C3C8B6F2F7E2G5C2G6,2.0,1.0,156.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4C3C8B6F2F7E2G5C2G6B4,2.0,1.0,157.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4C3C8B6F2F7E2G5C2G6B4E8,2.0,1.0,158.0,2362.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A6F4C3C8B6F2F7E2G5C2G6B4E8A4,1.0,1.0,,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4C8F7,1.0,12.0,160.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4C8F7B6,1.0,12.0,161.0,538.0,1588.0,2030.0,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4C8F7B6F4,1.0,7.0,162.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4C8F7B6F4F2,1.0,7.0,163.0,552.0,1782.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4C8F7B6F4F2C3,1.0,4.0,164.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4C8F7B6F4F2C3E2,1.0,4.0,165.0,427.0,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4C8F7B6F4F2C3E2E8,1.0,3.0,166.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4C8F7B6F4F2C3E2E8G3,1.0,3.0,167.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4C8F7B6F4F2C3E2E8G3D8,1.0,3.0,168.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4C8F7B6F4F2C3E2E8G3D8C2,1.0,3.0,169.0,584.0,1801.0,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4C8F7B6F4F2C3E2E8G3D8C2B4,1.0,1.0,170.0,,,,,,
F5F6E6D6C5E3D3G4F3B5C6C4D7E7B3D2A4C8F7B6F4F2C3E2E8G3D8C2B4G5,1.0,1.0,,,,,,,
