,num4black,num4white,0,1,2,3,4,5,6
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4G4B5G3E8C8G5F2E3E2,2.0,1.0,129.0,678.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4G4B5G3E8C8G5F2E3E2C2,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3,4.0,1.0,131.0,193.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6,2.0,4.0,132.0,262.0,402.0,873.0,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5,6.0,1.0,133.0,140.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5C7,5.0,1.0,134.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5C7E8,5.0,1.0,135.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5C7E8G4,5.0,1.0,136.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5C7E8G4G3,5.0,1.0,137.0,344.0,1018.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5C7E8G4G3H5,3.0,1.0,138.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5C7E8G4G3H5A4,3.0,1.0,139.0,371.0,742.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5C7E8G4G3H5A4H3,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5G4,1.0,11.0,141.0,187.0,287.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5G4G3,1.0,7.0,142.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5G4G3E8,1.0,7.0,143.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5G4G3E8C8,1.0,7.0,144.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5G4G3E8C8G7,1.0,7.0,145.0,438.0,556.0,695.0,783.0,890.0,932.0
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5G4G3E8C8G7A3,2.0,1.0,146.0,1011.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4B3B6G5G4G3E8C8G7A3C7,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2B3,4.0,1.0,148.0,845.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2B3B6,2.0,3.0,149.0,303.0,481.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2B3B6F1,6.0,1.0,150.0,376.0,803.0,,,,
