,num4black,num4white,0,1,2,3,4,5,6,7
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6H6D1D8F7G3C8C7,1.0,1.0,152.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6H6D1D8F7G3C8C7A5,1.0,1.0,,,,,,,,
F5D6C3D3C4F4F6B4C2E2,10.0,1.0,154.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6,10.0,1.0,155.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6,10.0,1.0,156.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3,10.0,1.0,157.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3,10.0,1.0,158.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5,10.0,1.0,159.0,251.0,1595.0,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2,2.0,3.0,160.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2G3,2.0,3.0,161.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2G3B6,2.0,3.0,162.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2G3B6E1,2.0,3.0,163.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2G3B6E1G6,2.0,3.0,164.0,571.0,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2G3B6E1G6B3,6.0,1.0,165.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2G3B6E1G6B3C1,6.0,1.0,166.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2G3B6E1G6B3C1C5,6.0,1.0,167.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2G3B6E1G6B3C1C5B5,6.0,1.0,168.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2G3B6E1G6B3C1C5B5E7,6.0,1.0,169.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2G3B6E1G6B3C1C5B5E7G4,6.0,1.0,170.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2G3B6E1G6B3C1C5B5E7G4H4,6.0,1.0,171.0,531.0,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2G3B6E1G6B3C1C5B5E7G4H4F1,5.0,1.0,172.0,,,,,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2G3B6E1G6B3C1C5B5E7G4H4F1D1,5.0,1.0,173.0,1171.0,2744.0,3631.0,5156.0,,,
F5D6C3D3C4F4F6B4C2E2C6E6E3F3G5D2G3B6E1G6B3C1C5B5E7G4H4F1D1F8,1.0,1.0,,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2E2C1F7,1.0,6.0,175.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2E2C1F7C6,1.0,6.0,176.0,1105.0,1997.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2E2C1F7C6C7,1.0,1.0,177.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2E2C1F7C6C7B6,1.0,1.0,178.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2E2C1F7C6C7B6H3,1.0,1.0,179.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2E2C1F7C6C7B6H3H4,1.0,1.0,,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1E1,2.0,5.0,181.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1E1C2,2.0,5.0,182.0,1909.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1E1C2E2,2.0,3.0,183.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1E1C2E2C5,2.0,3.0,184.0,1616.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1E1C2E2C5H6,2.0,2.0,185.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1E1C2E2C5H6H5,2.0,2.0,186.0,2635.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1E1C2E2C5H6H5G3,2.0,1.0,187.0,985.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1E1C2E2C5H6H5G3H3,1.0,1.0,188.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1E1C2E2C5H6H5G3H3H4,1.0,1.0,189.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5C1E1C2E2C5H6H5G3H3H4H7,1.0,1.0,,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3F7,2.0,5.0,191.0,1080.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3F7A6,1.0,5.0,192.0,462.0,558.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3F7A6C5,3.0,1.0,193.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3F7A6C5C6,3.0,1.0,194.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3F7A6C5C6H3,3.0,1.0,195.0,1242.0,4615.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3F7A6C5C6H3E2,1.0,3.0,196.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3F7A6C5C6H3E2C2,1.0,3.0,197.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3F7A6C5C6H3E2C2H4,1.0,3.0,198.0,1284.0,2490.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3F7A6C5C6H3E2C2H4E1,2.0,1.0,199.0,4816.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4F1E7B5B3F7A6C5C6H3E2C2H4E1G2,1.0,1.0,,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2C7,3.0,5.0,201.0,898.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2C7E2,2.0,5.0,202.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2C7E2C6,2.0,5.0,203.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2C7E2C6G3,2.0,5.0,204.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2C7E2C6G3C5,2.0,5.0,205.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2C7E2C6G3C5D2,2.0,5.0,206.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2C7E2C6G3C5D2C2,2.0,5.0,207.0,1458.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2C7E2C6G3C5D2C2G5,1.0,7.0,208.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2C7E2C6G3C5D2C2G5G4,1.0,7.0,209.0,,,,,,,
